Response ID	Which best describes your primary work area?	"If you selected Other, please describe your primary work area "	How many years have you worked in the software industry? (decimals okay)	How many years have you worked at Microsoft? (decimals okay)		How many developers are on your immediate team (including yourself)?	Is it a policy in your team to perform code reviews?	"What are your motivations for code review? Please pick the three most important ones (in order, without ties) from the following list"	"If you have other motivations for code review that are in the top three but are not listed above, please list them here."		Consider the following questions from the perspective of you being the reviewer of a code review submission.	"As a reviewer, under which conditions do you need to talk in person to the author of a code review submission?"	"As a reviewer, if the files being modified by a code review submission are owned by you (or you are very familiar with them), how often do you talk in person with the author of the code review?"	"As a reviewer, if the files being modified by a code review submission are unfamiliar to you (or are new), how often do you talk in person with the author of the code review?"	Does it take longer to review files that you are not familiar with (or files that are new)?	Why or why not?	How much understanding of the code review submission do you need for achieving the following:		Consider the following questions from the perspective of you being the author of a code review submission.	How do you select the people to send your code review to?	Is there a difference in comments/feedback you receive when a reviewer is very familiar with or the owner of the files you changed in a code review? 	"If there is a difference, what is different in the comments/feedback?"	"If you have any additional feedback that you feel would be helpful to our research in this area, please share it here.  (Remember that the survey is anonymous, so please enter your alias below if your feedback requires follow-up.)"	"If you would like to be notified with the results of our research, please email us (alias cbird) or enter your alias here and we will send it to you when it is completed."	"If you would like to be entered into a drawing for one of two $50 Amazon gift cards, please enter your alias here or, if you are worried about anonymity, email us (alias cbird) with subject ""Code Review Survey Drawing""."
6503256	Development		13	13		10	Yes	"Avoiding build breaks / Third Most Important;#Generate better ideas, alternative approaches / First Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / Second Most Important"				To get a better context of code that i'm not familiar with	up to 25% of the time	between 25% and 50% of the time	Yes	Need to spend extra time understanding the code	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / No understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / No understanding"			People who work in similar areas.  People who have a histroty of completing reviews in a timely manner	Yes	more insight into the code often produces more detailed feedback.			cjensen
6503257	Development		7	5		8	Yes	"Avoiding build breaks / Second Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Third Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / First Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				Almost only if there is a significant disagreement about major implementation aspects.	up to 25% of the time	between 25% and 50% of the time	Yes	A useful review requires understanding.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / No understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding"			Shared alias + individuals familiar with target area.	Yes	"Deeper details are explored, more subtle issues are found."			ahigley
6503259	Development		13	3		6	Yes	"Avoiding build breaks / Second Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Third Most Important;#Finding defects/bugs / First Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				Architectural changes	up to 25% of the time	up to 25% of the time	Yes	To familirize myself with the code and understand why the changes were made this way.	"Avoiding build breaks / High understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Complete understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			Whoever would be familiar with the area changes are made.	Yes	More thorough feedback isgiven.		vpavlov	vpavlov
6503260	Development		10	6		6	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Third Most Important;#Finding defects/bugs / First Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important"				"If I have a question that seems too complex to discuss within the review, or that has broad impact that blocks the review; or if we're not converging on an area of feedback."	up to 25% of the time	between 25% and 50% of the time	Yes	"If I'm not familiar with the file, I need to review surrounding code to understand the context of the changes."	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / No understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"Who knows the code, provides useful feedback, and is responsive to CR requests."	Yes	"A reviewer who knows the code can catch subtle bugs, or suggest better ways of doing things. They have insight on why the code developed the way it did, past pitfalls to avoid, and how to fit with the overall design and future plans.  A reviewer who doesn't know the code can catch simple oversights and suggest best practices; but a review from a person who knows the code actually gives me confidence in the change."		dglick	dglick
6503261	Test		8	6		5	Yes	"Avoiding build breaks / First Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Second Most Important;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / First Most Important;#Helping improving the development process in general / Second Most Important;#Keeping track of comments and rationale on code changes / Second Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / First Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Second Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / First Most Important"					Never	Never	Yes	Need to understand the architecture of the unknown code before reviewing it. 	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / Complete understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / Complete understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Complete understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			usually 10. 	No			burhana	burhana
6503262	Development		12	7		6	Yes	"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Finding defects/bugs / Third Most Important;#Helping improving the development process in general / First Most Important"					Never	up to 25% of the time	Yes		"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / No understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / No understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / No understanding"				No				
6503263	Development		3.5	3.5		25	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"					between 25% and 50% of the time	up to 25% of the time	Yes						No				
6503264	Test		20	8		7	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"	"Code Improvement, Collective Code Ownership and Team Assessment are all good ones as well."			To clarify expected behavior/assumptions about how the system should work when it's not clear from the code comments When there are more than a few responses in a particular comment and I want to see it resolved quickly.	up to 25% of the time	up to 25% of the time	No	"The right answer here is that it depends on the complexity of the code, not my familiarity with it.   More complex code takes longer to review, period."	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / Little understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / No understanding"			People familiar with area I'm testing or dev for feature I'm added tests/changing product for..	Yes	"More specific details to code performance, optimization, etc"	"It's too bad I can't re-open code flow reviews after marking them complete when we need to reactive a check-in when the fix fails to work as expected (or the initial feature). I'd like it to ping all reviews, not just the to: reviews on comments/sign-offs."	dawalter	dawalter
6503265	Development		4	2		1	Yes	"Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / First Most Important;#Helping improving the development process in general / Third Most Important"				"understanding the code if  a. it's complex, heard to understand, and lacks sufficient comments b. it's a different area c. if there is a better way to solve it and it is hard to explain over code flow/email d. need a review, and people aren't reviewing it, because they are busy or something else."	More than 75% of the time	More than 75% of the time	Yes	"because it is necessary to understand why that change is needed, and then to check if it could be done in a better way."	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Complete understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			to the team who owns the code. including the author in the required field. The 	Yes	the feedback has more substance. It has fewer code-decoration-type comments		srama	srama
6503266	Development		4	3		12	Yes	"Avoiding build breaks / First Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Third Most Important;#Generate better ideas, alternative approaches / Third Most Important;#Helping improving the development process in general / First Most Important;#Keeping track of comments and rationale on code changes / Third Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Third Most Important"				1. Missing description of changes. 2. Talk about files for which CodeFlow won't show the changes correctly. 	up to 25% of the time	between 50% and 75% of the time	Yes		"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / No understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Complete understanding"			Mostly code owners or people who work in similar area.	Yes	"For an unfamiliar reviewer, the comments are mostly generic, around formatting, general coding practices etc."		hdhadda	hdhadda
